class,text
0,skusenosti fica na nezaplatenie
0,fico nebol vobec nervozny
0,v takej číne by vaše skúsenosti určite náležite odmenili
0,matovic predsa robi to iste
0,robert
0,cely narod vie ze je to banda podvodnikov psychopatov co zlikviduju vsetko lebo nerozumeju nicomu len plnym vreckam a ludia ich posluchaju preco
0,je to elev 
0,pán. fico.  držímvam.palce.    p. heger.   mohol.   dôchodky.   dávať. od. 60rokov. sak. ľudia nesú otroci robiť.  na vaše gule
0,tak kedy už niekto zozbiera podpisy na vyhlásenie referenda o predčasných voľbách?  už včera bolo neskoro ....
0,bolo mi smiešne pan minister s kade kam
0,hegrisko má iba tendenciu ohovárať  
1,plán trnavského blázna je taký
0,pán heger
0,áno pan fico presne presvecciitt to stačí to je za prvé a za druhe malo bit slubovatt
0,pekne ho zotrel. pan fico je
0,alena zenovitzová
0,konečne ste ako vojak vystrelil!  dole klobúk pán fico tomu burinošlapača ste dal pekne dole!!!  dole klobúk!
0,zle????
0,hahaha
0,a
1,umrela som
0,hadaju sa v parlamente co cakate od ludi
0,vyzeráš ako miloš m
0,pán fico bi mohol byť novim našim prezidentom je na ministerstve vise 20 rokov..  vie všetko čo hcu ľudia
0,fico
1,nemysim ho ale tak ten mu nalozil
1,pán fico
0,ako by som videl včerajšie finále roland garros zápas nadal vs djokovič
0,a prečo je to uverejnené tu?
0,sledovala som
0,na slovensku vládne vláda multimilionárov !?ja som vám už zapálila sviečku !
0,vážený pán robert fico ďakujem vám !!!
0,ja som reláciu o päť minút dvanásť uverejnila na facebooku !to bola šou minisrtra 
0,ak má pán heger len trošku sebareflexie
0,pan fico je ozaj politik na mieste.heger pripada ako slon africky
1,her tupec tak ako aj jeho pán
0,to bolo na úrovni pán fico
0,celá vládna koalícia
0,?
1,ten heger aj matelkom by ma ist  na prednu horu a dat ich do samotki
0,róbert si pán....
0,dobře mu naložil pán fico
0,"""a padla facka na sale""""! urcite by som nesiel do tv studia nepripraveny"""
0,tu nedeľnú debatu som počuvala .p. fico držím vám palce aj ja som sa musela zasmiať na hegerovi. on že je minister ?
0,pán fico 
0,to sa mi pači p.fico treba ist na nich z ostra a dat im na frak.
0,oprava heger
1,byvala vlada mala aj schopnych ministrov..
0,never ešte len sadol už mal hlavu mokrú ako by ho vodou obliali ešte tak 15 minút a ho odváža rzp
0,toto bol rozstrel slona  a mravca fico vs heger profesor vs predskolkar po tomto dueli bude heger este dlho trpiet traumou
0,p. heger dal ste to vyborne
0,pán heger bol akurát tak na hospitalizaciu
1,vy ste vymasteny ludia ked toto uz prejde..z plastovim ruskom..fico ich ma este lepsie na plane ako matelko
0,4 roky a slovensko   zkapne z mapy
0,spravne pán fico
0,p. fico je osobnosť veľkej angažovanosti. jeho rozhodnutia viedli vždy k pomoci sr
1,je to jedna uboha amaterska vláda no boh nas ochranuj ale vyzera to že dopadneme velmi zle!
0,kde sa to dá vidieť? rtvs to 
1,správne spravil ten chudák heger to je magor fico vie vie  ísť a on sa ide ku nemu počítať to je obyčajný chudák ne neger
0,treba konečne zastaviť túto akože vládu lebo položia celý štát a ľudí na kolená a myslím že nie sú moc ďaleko od toho...
0,pan fico boli ste top
0,ty kokso keby som nepoznal aj uverim ....
0, byť jednotní. netrieštiť sily
0,počúvali sme riešenia
0,palace drzte radsej inde
0,radšej hladajte tlmočníka!
0,riešiteľ
0,vtipné...
0,prosím za rozmýšľajucich ľudí
0,pan politik
1,chyba je len v tom 
0,v jednote je sila spoločne pre ľudí  boha posluchat
1,vieme 
1,nemozete viedt konstruktivne rozhovory s niekym kto je egoista a narcis
1,pan fico naša záchrana pomôžte nám!!!! ten psycho nam nedá žiť
0,áno krízu treba riesit
0,pán fico nemal ste odstúpiť pri protestoch verím že ak by ste mobilizoval národ a povedal mu pravdu že to bol chystaný prevrat tak národ by stál za vami
0,už ste na niečo konkrétne prišli ??
0,pán!!!!
0,na p 
1,to množstvo pravdivých  komentárov svedčí o odbornej kvalite pána r. fica
1,predčasné voľby a toho zavrieť do klietky
1,kapitalizmus sa najlepšie zakriva korunavyrusom je to pliaga oboje
0,presne tak pán fico súhlasím svami ste múdry politik. rozmýšľate hlavou a treba túto situáciu vyriešiť čo najskôr. pretože to čo sa tu deje na slovensku momentálne je katastrofa. ľudia potrebujú prácu aby mali z čoho žiť.
0,mudro p.fico !!!
0,nechceli sme rovnosť
0,a čo ten odvodový bonus čo navrhuje sulík všade sa o tomto  píše  aj video koluje na fb veď sa ak sa to schváli tak zamesranec a živnostníci prídu o sociálne istoty. pozrite si to
0,to ale nie sú stalinske metódy práce. vinníci vždy boli riešení bez časového obmedzenia.
0,to nie sulik 
0,dobrý politik
0,pan fico
0,nič nehľadajte
0,viete čo ľudia chcú?- zrušiť všetky korona opatrenia- chrániť dôchodcov (respiratory
0,fico to mal dávno poriešit.všetko mal vo svojich rukách.teraz hasí ??
0,"""..hľadajte východisko"""" a riešte radikálne  momentálnu naozaj zlú situáciu.. ☻"""""""
0,veľmy vistižne napisane
1,pán fico prosím robte už  niečo  treba toho matovica aj z jeho kunpanmi  poslať kade  ľahšie  to čo sa v štáte  deje už nieje únosné  matovic je chorí  človek a chorí  ľudia predca nemôžu  vládnuť  národu!
1,pan fico zase si pán premiér matovič rýpol do vášho vzdelania nehanbí sa plagiátor na vašom mieste by som zareagovala už bola dosť osočovania
0,správny prístup
0,to je pohľad vodcu 
1,uzniecorobtezmatelkom
0,tak krízovej sie časi ako sú teraz ešte neboli. tak prosím robte už niečo. zastavte toto šialenstvo. toto bezpravie. ľudia na zbedacenon šlo ensku si toto nezaslúžia.
0,pán fico
1,riešenie je poslať prezidentku a vládu okamžite domov!!!!
0,riešenie je lexaurin.
1,jasne ich charakterizoval. banda neschpákov.
0,keby bola normalna vlada nekradla a starala sa o ľudi už v aprili by tu nič nebolo len zase niekdo videl možnosť zbohatnuť.......prečo napr. v amerike nenosia ruška ? ale iba tu v eu ??? prečo trpime ??? a ja straštne rad by som chcel vidieť zeme 3.sveta čo denne nemaju na chlieb a nieto ešte ruško na každy deň denne sa zomiera na hladomor a ine choroby ale samozrejme slovensko jaj pardon skurvenko musi riešiť ruška ludia sa spametajte už a toho 17.10 pridte pred vladu kdo vam to zakaže policia armqda keď spravime jednen velky protest ? uz je cas ludia
0,presne tak...
0,pán fico
0,hľadajte
0,super povedané pán fico
0,len ci to dokaze pochopit ten co to ma v rukach
1,lenže táto vláda tápe
0,ano
0,fico je človek s veľkým srdcom 
0,robo super... len tak ďalej
0,na základe výroku nemeckého humoristu
1,tak to robia inteligentný ľudia ale keďže mi máme premiéra blbca tak hľadá vinníkou.
1,ano len do nich
1,nic nehovor si vtom
0,presne tak pan fico zdravim a nie matka
0,to bol profi  prejav.. ma toho v  hlave riadne uložené... vyzná sa.
0,nad vytecny politik . vy ste pán fico ozaj jedinečný . nech vás zdravie šťastie a múdrosť sprevádza všade. drzim vam palce.
1,mám veľké pochybnosti o ústavnom súde !
0,vážení  páni  zo smeru to že vyberanie pokút nebolo právne  v poriadku ste zistili až teraz!?
0,odmietame povinne očkovanie
1,už aj ústavný súd je kúpený majú tam svoju .......
0,‍‍‍‍‍‍‍
0,tak pán fico len ďalej takto na nich dlhý meter krátky bič!
0,už dávno ste mali....
0,tu je vidiet ze kto a ako ziskal svoj titul
0,kamoška a jej covid. bolo to veľmi ťažké
0,vážený pán doc . judr .fico
0,konečne prejav na úrovni 
0,najrozumnejši politik
0,pán fico
1,pán fico prosím vás odvolajte matovica lebo to čo spravil je koniec tomuto štátu
0,zaujalo ma návrh povinného očkovania. odpovedám tak ako celé roky dozadu. je to len na mojom rozhodnutí a nikto mi nebude určovať
0,dobre hovorí fico!
0,neviditeľná ruka zákona dostáva kŕče .
1,keď to takto pôjde ďalej slovensko čoskoro zanikne...
1,......takto to vyzerá
0,súhlasím s vami pán štefan
1,pán doktor práv fico
0,úplne presne
0,oprava pan fico mate pravdu
0,pan gico mate pravdu
0,ako sa im dá veriť keď posielajú sms s pozitívnym výsledkom čo nikdy neboli na testoch.
1,panie fico.čo vieťe zpraviť zo zkorumpovanymi sudmi?? a ztouto vydarenou vladou nieschopencou!!!! však oni ten to štat uplnie zrujnuju!! parlamentny bufet by som niechal zatvoriť!! ked narod ma zakazane jesť v restauracjach !!!!
0,pan fico. budem vam vykat
0,pan fico velmi sa mi paci ako varujete ludi
1,lebo je to banda sráčov
0,pán fico
0,každy len mudruje
0,dostala nás matovičova  vláda na bieloruskú cestu?
0,v tomto rozhovore s pánom ficom ma zaujalo toto kedykoľvek sa možme obrátiť na ústavný súd slovenskej republiky a ako takí súd prebieha niekto s politických strán sa ho zúčastní či obraciate sa listom na súd potom ako dlho trvá než sa vyjadrí k danej veci ústavný súd slovenskej republiky potom ďalšia vec ako je to s odškodňovaním reštaurácii
0,prezidentka tento zákon podpísala
1,treba volit smer vi kkti .... nelubi sa vam? tak to nepozerajte...
0,fico naspäť na úrad vlády!!!
0,no bude to pestré
0,a toto je ale pravda.
0,treba sa spojit tie opatrenia co vydala tato vlada sa tykaju vsetkych
0,pán fico držte sa a nevzdávajte sa veľmi sa čudujem p. pelergriny mu!!!!!
0,kto chodí vytvárať konflikt a bitku na pokojné zhromaždenie
0,pán fico
1,pán fico
0,pan fico
0,pokiaľ štát nechce v tomto pomôcť
1,ktorý zákon prikazuje nosiť rúško na verejnosti (v exteriéry) prosím? vie niekto?
0,ide sa
1,treba sa postaviť na odpor a doslova vymlatit tých darmozracov a vlastizradca z parlamentu.
0,chcem vidiet ako zatknú cez 1000 ludí
1,počúvam samé sracky to je jedno z ktorej strany kedy vás bude zaujímať osud ľudí ktorých ste osrali keby to nebolo trestné tak by som vás kopal do rektatu
1,ako môžeš byť tak bez chrbtovej kosti a tváriť sa
1,sade len policajtov voláte zavrite už matoviča konečne
1,prosim vas ved robte daco ‍toto uz je moc co ten tu stvara a vy sa na to pozerate . zastavte ten jeho teror
0,pár prikladov co ste ukradli :1. kauza slavkov - slovensko pri predaji pozemkov vďaka vládnemu nominantovi na pozemkovom fonde prišlo o 1
1,stop testování stop vakcinam stop!!!!! nedej se
0,spravne
1,názory elít
0,presne tak !! dobre hovori
0,všade sú peniaze všetko sa točí otom nič viac
1,viete co je hlavny dovod aby si matovic zistil ci ma u ludi podporu ci ho ludia respektuju cely ten nezmysel je len o tom. a este k tomu pouzije armadu . ta pipulienka ta sama nevie ci je utorok alebo streda .
1, kto mal z môjho okolia coronu ... / viem o  jednom / ...o pár dní bol tiež zdravý.... ak ju dostanete
1,uz by  ste s tym pajacom a vydieracom mali nieco urobit nech odstupi ved to je maniak vobec sa neriadi zakonmi
1,kolaps nie len v zdravotníctve 
1,pán politik
1,toto je to sakramensky tenky lad  pre vladu a co bude snami ani pan boch nevie a nikoho to zaujimat nebude ze pokapeme ako potkany co sa ma stat to sa stane
1,testovanie je nutnosť maťoviča.
1,toto je už štátny terorizmus
0,máte ostré lakte
1,boze tato kreatura sprosta
0,nerozumiem tomu. na jednej strane sa tvrdí
1,nie nahor ale magor lebo inak ho nemôžem nazvať. takú hanbu našej sk ešte nikto nespravil ako on
1,matovic a celá jeho banda je odpad  ale čo  si zvolili to majú. ja už dlhodobo žijem v zahraničí.ani tu to nie je ružové ale tak ja vás národ odsúdil po vražde kuciaka nemám slov myslím že vy a pelegriny nás z toho dostanete. viem beriete ho za zdradcu ale pan fico je čas robiť ústupky. ten nahor to nedá
0,ak testovať
1,po sobotnej akcii
0,přesně souhlasím svamy pan vico
1,ćím viac testov tim viac peniaze má do vačku.
1,tu hrozí kolaps slovenského národa!
0,mikor!
1,naj už matko vypadne plagiator s babko herečkou
1,este ma dost ovecky matko co mu veria aky matko taky lud
1,žiadne testovanie nebude! paňiatno
1,nech si da tu zprostu hlavu testovat
1,ako by aj nie 
1,expert lvl koňskej vocas
1,nemali ste si zatvorit nemocnice
1,ved aj  tie testy preco to bolo robene pod ruskom tajnosti a nedalo sa to verejnosti posudit 
1,presne tak p. fico už ho konečne treba zastavit
0,tie peniaze čo  dali na testy mali naliať do zdravotníctva a dať ľuďom odmenu čo sú v prvej linii
1,je nepôjdem môžeš sa vihrazatt nepôjdem a hotovo
0,nie
1,ten nazoj pán fico tých odborný kov je vieru hodne alebo peňažné je vieru hodne? tomu verím že som zdravá a žiadna infekcia ešte nie je mojej krvy testovať sa nenechám aby ma nakazyli
0,kolaps zdravotnictva je tu uz davno
1,sprostosť národa trvá kvôli niektorým politikom.
1,najprv nariadil nudzovy stav a teraz sa sprava ako keby bol on ten najvyssi. uz ho konecne zatvorte na psychiatriu. tak na hroby ani krok - sedte doma ale testovat sa mozte ist dat alebo lepsie musite. mne sa zda
1,preč s matovičom  a jeho prisluhovačmi !!!ľudia spamätajte sa !!!
1,testovať sa nedám preč konečne s tým bláznivym  matovičom !väčšieho idiota už slovensko nemohlo dostať ...robí nám len hanbu vo svete
0,odborníci sa musia vyjadriť k tomu či sú tieto mutácie vírususchopné presadiť sa v prírode. potom by to znamenalo žev tele je bezpečnej schránke. potom by bol lepší liek ktorýby vírus v tele zneškodnil. očkovanie nie je na princípe.že sa vám zvýši imunita.
0,to není len testovať a očkovať treba očkovací preukaz zaznamenať co vakcína obsahuje sú ľudia chorý rakovina alergie a podobne tu sa musí vyjadriť odborný lekár
1,ale neodstúpi
1, človek si na dušičky spomína na svojich blízkych -zosnulých -no pozor-citujem p.mativiča
1,pan matovic zda sa mi ze zo dna na den je tychto uboziakov co reaguju podla vasich pokynov cim dalej tym nizsie percento
1,jedine čo je za tou čvargou vidno je budovanie kanálov. letnom pohľadom sa my javí akcia celoplošné testovanie ako nie zrovna medicínska akcia. objednávka testov z maléj trnavskéj fyrmičky ktorá si ako neplatič soc. odvodov vyrovnala dlh tesne pred podpisom zmluvy uzavretej dohodou
1,.nie sú vasi priatelia
1,no už ho nemám dobrý
0,sledoval som dialóg medzi ficom a remišovou
1,o čakávam jeho demisiu. nebude nás tu vydierať a tajne pripravovať testovanie
1,chce to robit vo volebných miestnostiach
1,pán jozef nepište nezmysli 
0,dobrý deň pán fico 
1,ktorý odborníci povedia matovičovi nie?  doteraz taký čo povedali pravdu a rozumný dôvod sú debily ktorý majú vrátiť diplom.
1,ved tie testy su slabe nevhodne tak načo?  mali nakupit sto percentne ak budeme mat priznaky sami pojdeme kašlem z cigariet tak mam covid ?
0,veď už si konečne uvedomte že je to len pre naše dobro čoho sa bojíte veď je to len obyčajný výter z hrdla a nosa čo sa môže stať nič iba tam prídete a otestujte sa veď určite máte toľko času
0,najprv nas otestuju a potom nariadia povinnu vakcinaciu.
1,testovanie by malo byť dobrovoľné a nie sa vyhrážať
1,pan fico
1,ešte to no to buďe debilina testovať. akože nas otestuja a povedia mate pozitiv
1,ani za nič
1,na jeho mieste sa v prvom rade naucim po anglicky a potom moze nutit ludi sa dat testovat.ved moji anglicky kolegovia sa s neho smeju aky mal prejav v bruseli s jeho stekajucou anglictinou.
1,pan fico
0,julia balogkva super bože už zas
0,super pan fico dobre ste to povedal
1,pan fico
1,ziadne testovanie do kazajky snim
1,kedy začnú testovať poslancov alebo oni majú výnimku?
0,koľko ľudí je dnes na úrade práce a nemajú ani cent lebo nárok im podľa zákona nevznikol kto im pomôže že sú doma kôli kovit 19 nikto a z čoho majú žiť nájde sa vláda ktorá sa postará o nezamestnaného hoc nestihol splniť podmienky lebo za posledné roky sa prepúšťa ako na páse stále daka kríza je.treba pomost ľuďom a dať minimum aspom na prežitie a nie nechať ho na vode ak aj tu mu neodpoja lebo nezaplatí.
0,slováci nadávať viete a kto vám bol vhod ktorá vláda sa o vás starala nech tam bude hoc kto aj tak dobre už nebude zobudiť sa treba zo sna.
0,miláčik
1,pán f co tak sa nevihorat?
0,ne využila
1,nech odstúpi treba ďalšieho kritizovať matoviča už má každý plné zuby a takto ľudia to ide do nekonečna
0,aj divekyovej
1,nie som kotlebovec
1,cez leto mal covid dovolenku tak ako politici sprosti. takze nebola ziadna priprava... len vymyslenie v pokracovani tejto covid manie.
1,nech sa testuje
1,asi on to zariadil
0,žiadna kríza nie je už to pochopte všetci konečne. ‍‍
0,teraz som čítala nápad jedneho nášho občana
0,v žiadnom prípade nie
1,ked vedeli že príde aj druhá vlna tak načo otvorili hranie?????
1,poslední medícínské studie říkají
0,rozumná reč pán fico
1,p.fico mohli ste sa aj pridat k protestu aj s celou opoziciou a nie cakat a dufat
0,money
0,konečne
0,hm..len ci by odstupil???
0,uplna pravda
0,správne pan fico som preto nech ten istý pán  matovic odstúpi  čím svkor.. vy pan fico preberte  vládu.
0,môžme spojiť testovanie s referendom ?
0,... vy pan fico
0,pravdu ma.
1,celoplošne testovanie? hlúposť
1,mali by sme okrem testov na covid začať robiť pre istotu každému röntgen aspoň dvakrát do dňa
1,nejde o coronu ale zber dna do databaze  na buduce povine ockovanie  cipovanie gejcovou smrtiacou  sračkou  chystaju genocidu  a 5g tam ma velke zastupenie .
0,vedeli ste o dnesnom proteste???kde ste boli???aki ste stravili den?/
1,igor.ty si radšej ber príklad od fica
0,no to to
0,prosim vas toto by bolo riesenie
1,nech ide do boha aj s jeho celú bandu a nech si zoberú aj exlenciu zo skladky
1,ktorí odborníci čo má okolo seba ? veď sú v jednom vreci
1,nikdy sa nedám testovať  necítim sa chorý a tobôž štepiť.
0,suhlasim.
0,velmi dobré vyhlásenie a hlavne rozumné.
0,a taktiež by ma zaujímalo toto 
0,robko
1,adolf mathalovic prečo keď sa tak vehementne oháňa nezmyselnym testovaním neurobil nič doslova nič zo zdravotného hľadiska proti tomu chripkovemu vírusu no preto lebo ak by boli určené liečebné metódy on by nemohol klamať a zatvárať podniky na ktoré sú ľudia odkázaný aby mohli uživiť svoje rodiny tento adolf je doslova posadnutý bud ťahá do rypaku látky ktoré mu robia erforiu alebo je ozaj psycho tronik posadnutý likvidáciou nášho slovenska. adol odstup.
1,neprístupné na to testovanie.. niekto sa len nabaluje... pozrite kto dodáva toľko testov... a načo je to dobre.. o hodinu sa môžem nakaziť.. zbytočne šikanovanie ľudí aj peňazí...
1,a ktorých odborníkov máte na mysli pán fico ? lebo názory odborníkov v celom svete sa líšia...a o.i. názory odborníkov
0,celoplošným testovaním sa totiž može zistiť viacero vecí... nie je to zlý nápad
0,múdro  politika bokom !
1,nikdy testy... ked nie som chorý... ďalší koronacista
0,a čo bude ak väčšina z testovaných bude musieť ísť do karanteny?
1,jemu  už ani vtedy neradno verit
1,nesúhlasím s plošným testovaním
0,taktiež nesúhlasím s celoplosnym testovanim a som prekvapená
0,presne tak 
0,matovicov navrch a riešenie je správne ide tu o zdravie ludctva
1,experti??? odbornici????? nebodaj ti
1,my nemáme žiadnych odborníkov iba jedno spuchnuté prasa
1,nech odstúpi matelko aj cela vláda budem najšťastnejší muž na zemeguli
0,pán fico
1,pan fico
1,pán fico som za vás ale prečo nepodporuje tich ľudí pred n vo adov veď oni nechcú nič len dôstojne žiť stále len rozprávate a nič nwrobite  to naoaj čakáte kedi ľudia zoberú bráne a pustia sa do toho
0,matovic bol súčasťou protestou proti vám v tedy stal má tribúne a hecoval ľudí v tedy mu nevadili rovnaký protestujúci ako dnes idu proti nemu . nie som vašim voličom ale nepamätá si že by ste použili vodné dela či plyn
1,je to len veļké vydieranie zo strany matoviča prečo to už neurobili aj iné štáty to máme byť ako prvý pokusný králici? ak to odporučia odborníci prosím poďme ale inák neviem poviem pravdu neviem čo urobím som dôchodkyňa a ešte sa mi nechce ísť na druhý svet. doteraz som vždy dodržiavala všetko a aj budem ale z očkovania mám zvlášný pocit a a sa bojím
1,kolar chce počuť názor venerologov zrejme si mysli že je tu pamdemia kvapavky
1,kurvaaksteza ľudí taksaaj za nich postavte vidíte čo sa deje a len tliaxhate ako pele a nič nwrobiteale takto spájať testovanie celej krajiny z oné mňa zaujíma názor odborníkov ako ideš áno poďme toto
1,igr mal plan uz v marci predat cele slovensko nemcom
1,toto bude uz koniec tejto vlady. za vasej vlady nezasahovala policia.
1,keď by aj premiér odstúpil
1,"""a kto maju byt ti odbotnici""""????mikas a jarcuska???"""""""
1,moze mi niekto vysvetlit zmysel tohto nezmyslu plosneho testovania? dnes negativna
0,"""nič si nenahovarajme pri testovaní  im vide min 10%.... """"co nosia v sebe tento vírus"""" ak by z týchto 10%  bol co i len jeden člen rodiny"""
1,dobre vravíte p.fico
0,načo testovať keď neexistuje liečba
1,tiež nesúhlasim s testovanìm jevto biznis veď ľudua nrmajù na živobitie
1,testovať sa nedám zbytočné vyhodené peniaze
1,kde su naši lekári nech sa konečne vyjadria nemocnice  veď tak sa neda žiť ani oni fungovat nemôžu 
0,mali všetci rúška toto všetci dodržali 
0,biznis je biznis! na zdravie sa vykašlime!!!
1,vonku sa nesmie stretnúť viac ako 6 ľudí
1,odbornika ako mikas? ved nazor ineho neakceptuju! ve toto je ako zacarovany kruh!
1,zbytočne vyhodených 50 milionov € za 13 milionov testov. radšej tie peniaze mohli použiť v zdravotníctve alebo školstve. robia z nás pokusných králikov.
1,hromadné celoštátne testovanie sa má urobiť antigénovými rychlotestmi
1,trhá nám to žili
0,pán róbert fico
1,aká druhá vlna? v cíne  kde je 2.vlna?? nekrmte nás odpadom!!!
1,mozno to je len matelkova hra
0,došlo
1,pán fico pozrite si video o tom čo v skutočnosti je kovidko
1,demokracia nazvala a urobila z robotníckej triedy
0,nesúhlasím s celoplošným odberom dna(zástierka celoplošného testovania zo slín) . súhlasím len s odberom ťažko chorých a stredne ťažko chorých ľudí
1,pán fico
1,lebo všetkych to už nahnevalo každy deň a každu hodinu počuvať len o korone a obmezdeni a ľudi pripraviť o pracu a mnohych o zamestnanie veď to je hrozne
1,nech sa vyjadria odborníci z príslušný odvetví a nech to posúdi aj ústavný súd v práve veta
1,preco sa mam dat testovat ked som zdravy len koli tomu aby oni zase zarobili a nutit a vyhrazat
1,nás volá mudrosrači
1,kseft nic ine !!!!.. oto ide k*k*tom
1,treba dať navrch ak chce testovať tak nech za testovani zahlasujte 149 poslancov  tak aj referendum o predčasnych  voľbách
1,nesúhlasím s celoplošným testovaním.ani s jeho klamstvami
0,pán fico
0,načo testovanie dnes som negativna zajtra môžem byť pozitívna ...a čo keď bude polovica ľudí pozitívna ?? a čo sa tym zmení ?? niekomu pôjdu eura do vrecka potom príde povinné stepenie a korona tu bola aj bude náučme  sa s ňou žiť ...
1,ja len dùfam
0,rozumné
0,robo super teším sa na zajtra a maš 100% pravdu zdraví ivan.
0,súhlasím čo tu píšete
0,pán fico ak budú ďalšie voľby tak vás určite budem voliť a vzdy som volil smer
0,testovat sa nenecham a p.fico urobte nieco lebo tu bude druhy maidan
1,dá sa predísť ochoreniam(nachladnutie
1,zbytočne vyhodené peniaze
1,chcem poď premier !!! musí bojovať
0,pan fico
0,ludia by aj ostali doma
0,keď teraz nepodporíte a nezastanete sa obyvateľov tak v ďaľších volbách to máte zrátené
0,to teda nie !!!
0,len pre menej chápavých
1,prestaňte z ľudí robiť rukojemníkov a zatvárať úplne zdravých v karanténe. nechajte nás žiť. svoje egá si pestujte doma vo vlastných kuchyniach. dnes vodné delá.. čo bude zajtra a ďalšie dni? dáte nás všetkých zavrieť abo rovno popraviť??
0,zopakujem opäť!stručne a mudropotvrdené požičané sa vracia!
0,prosim vsetkych kto by mohol objasnit odkial boli zakupene tie nove testy ???z cinskej ludovej republiky???
1,te sk katok
1,ktorí odborníci? tí zapredanci igorovi?  žiadne testovanie nebude. môžete začať od vás v parlamente.
1,je to blbost jak mraky to testovanie a nehovorte že dáte na nazor odborníkov ktorých tu nemame takze už konečne urobte pre ludi niečo aby sme kľudne zili
1,mi pripada ako robot
0,a čo vám už na testovaní prekáža ?
1,nech sa tám stretnú negatívny s pozitívnymi
0,stw velky fešačiako ci pana
1,n
1,iba pozerala ako ťeľa
1,ona si to tam dosla len odstat aby sa nepovedalo nic z nej nevyliezlo podla mna babkarka ani nemala sajnu o com je rec tak ako nas zlaty premier ktory zase trepe jedno cez tri jedna je nema druhy je slepy este hlucheho najdime
0,fico 100 percent vie gde bolo zle  a zmenaje pohiblyva je mudrima talent
0,oh definitely
0,ta ponuka pre dojičku u nás na jrd stále platí veronika.
0,super p.fico
1,tak ona nič iné ani nevie.. ehhhmmmm noooo hmmmm na tieto odpovede nemám otázky..
0,pán fico vy ste dobrý politik bohužiaľ ste obklopený blbými ľuďmi u mňa máte vždy hlasy
1,len. ludodom. zvizit. ceni.  ludom   asebe. plati. ludia.  nemaju. co. jest.
0,ste štátnik na úrovni
1,táto naša nová vláda to sa rozum pozastavuje nevedia nič a ani sa nevedia k ničomu vyjadriť nastrčené bábky 
1,presne tak
1,treba ju napojiť na centrálny penisový acd fpc projektor potom pochopí abo ne
1,veď čo od nej chceme? z večera do rana nikomu nenatiekol rozum oni vedeli iba kritizovať nič viacej teraz je vidieť ich neschopnosť
0,remišová
0,to som si kukla 
0,čo mala hovoriť
1,opakovanie dookola tie isté frázy. spravili sme pripravili sme pomohli sme ale realita je iná. nepomohli firmám ani živnostníkom. šport a kultúra sú na kolenách. majú len pekne prezentácie a tlačovky. sľubujú a hneď potom výhovorky.
1,hlupa hus...
0,pán fico
1,bez akýchkoľvek urážok a invektiv
1,tá tam nič súvislé nepovedala
1,škoda vysielacieho času
0,pri čítaní komentárov mi stále vychádza jedno spojme celoplošné testovanie s referendom o odvolaní vlády. určite bude vysoká účasť.
1,nic konkretne nepovedala len tolko sa opakuju ze 12r
1,remišová je žiačkou matoviča. nič iné som od nej ani nečakala. prišla naštartovaná
1,a čo mala iné povedať keď hlúpa a nič iné nevie remiska je hlúpa dora
1,čo iné sa dalo čakať
1,babkoherecka vadsiu picovinu som nepocul nemozem si na to zvyknut
1,čoho ta nedorobena krava by aj mohla byť schopná ale odvahu ma ta jej nechýba ale to je asi všetko čoho je schopná
1,náhubok ?
1,lebo  ma papiere ot matovica  to napisane coma hovoryt
1,a škulila na všetky strany
0,róbert    fico    je  najlepší   politik
0,neviem si predstavit debatovat s remisovou o comkolvek....
1,co od tej kravy cakat viac... nebodaj mlieko to ta krava neda aj ked jalovicou bola v minulom tisicroci
1,a prečo nepadla otázka
0,nedozvedeli sme sa nič.no ale čo by sme sa aj mohli tak dozvedieť z tohto zdroja.
1,každopádne je to škandál ‍
1,bábkoherečka sa nezaprie..
1,veď tá sa naučila asi 30 fráz a nech sa opýtate čokoľvek
1,remišova je kiskov podskok oba su vedľa nevedia čo činia
1,negramotna ako premier
1,to nosisko ma krasne
1,od bábkoherečky co očakávame??? ona ma pocit
1,sfúkol ste ju ako sviečku.chuďatko ostala zaseknutá
1,aspoň rozprávku mohla porozprávať. mnohí by ocenili.
1,nič nové....zasa len krok dozadu...žiadna priama odpoveď remišovej....žiadnu totiž nemá....iba sa krúti dookola ...
0,robo asi mas pravdu
1,"""ja som si že diskusia s vami ju tak zničila""""že sa nemohla zúčastniť večernej tlačovej konferencie. zrejme bola doma a venovala sa medziplanetárnemu priestoru. v tejto oblasti je pani remišová ako ryba vo vode"""""""
1,táto pani zo shreka ktorá sa na ňu veľmi podobá by mala určite viac argumentov ako to čiernovlase teľa
1, hlúpa
1,veľmi som bola prekvapená z p. rimiśovej - z jej vystúpenia - nula bodov
1,ona nevie nic len bla
1,marfuša trepala   všetko  možné
1,že ste s takou hlúpou šli do debaty 
1,nikdy som vás nevolila a s najväčšou pravdepodobnosťou vás ani voliť nebudem
0,aj môj určite.
1,ta sliepka sa nikdy nezmoze na riadnu odpoved co ste cakaly ze povie nieco normalne
1,od tej 
1,remišová nevie nič.
1,všedci vieme že dáma remišová má úplne dutú hlavu
1,čo iné ste čakali!!!
1,pani remisova dodnes netusi coho je ministerkou
0,držim palce len tak dalej pan fico
1,ten duel vyzeral tak ako keď tenista by musel hrať tenis s koňom
1,ja budem zvedavá na duel s matelom
